source_repository	source_path	source_revision	source_sha256	role	public_eligibility	canonical_counterpart	decision	evidence	validation	preservation
narikiri2-an9j-save-fix	narikiri2_codex_verified_prompt.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	784826f15628604ad2ef43ed5676178d7523d77ddf228ca6c15426bdd9b4b6ab	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	NARIKIRI2_CODEX_미번역_보완_명령문.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	cf3669b59a8d870464f1cabfa829c66dc9a34b0500409734377e51f865f916de	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	NARIKIRI2_CODEX_완전판_제작_명령문.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	c94007aab5cd64af153682bbdb98471e458d3e306daa8edd27b7b6df85eea85a	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	PLAN.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	9f31a63229bb74d4b4b697a0c1cb955db6ef4c35c31512f758f09e91cc42733f	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	README.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	cb2d424a2da9da028c2adcf245cbb2b1a0134eed028fa8155e927ebc9e151a14	current implementation/input	Existing canonical sanitized/updated counterpart	README.md	SUPERSEDED_WITH_EVIDENCE	Canonical source-bound authored/hash representation supersedes older raw source text/profile metadata; exact frozen v0.9 and v0.9a builds verify the adopted product, without importing the old corpus.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	RELEASE_CHECKLIST.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	4058c64df5e37e3fdf2e776b703314e78956c9daeadabbb462d4ae573304a7cd	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	RELEASE_POLICY.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	1441cc9a13e4bb7ff7ab02f5e170bd31805432538675cdd191a526931c4db88d	current implementation/input	Existing canonical sanitized/updated counterpart	RELEASE_POLICY.md	SUPERSEDED_WITH_EVIDENCE	Canonical source-bound authored/hash representation supersedes older raw source text/profile metadata; exact frozen v0.9 and v0.9a builds verify the adopted product, without importing the old corpus.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	requirements-private-font.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	6daa736159e32e3dbc1a72cbc67c192b8101c532a4b66e3daede4595c8452f5b	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	RESUME.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	296637167271a5fcedce0564b7aa697fe8c3926d815e95acdf186e616a46eaaa	historical decisions/status	NO: historical/private data not selected for publication	MIGRATION.md; RELEASE_POLICY.md; docs/migration/FOLLOW_UP.md	SUPERSEDED_WITH_EVIDENCE	v0.9 historical status is superseded by v0.9a, not deleted. Adopted save/font/FFR/rights/version policies remain in active docs; pending hardware/full-play work is carried forward.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	tales-of-the-world-narikiri-dungeon-2.4200.sps	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	6eed93a950cb5150839a63e3c4e29e66347ae2d8c2b6ad8516e99feaf0842f63	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	tales-of-the-world-narikiri-dungeon-2.5017.sps	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	ce0ecede3e24ab312ea8ab66a329201ae3300e030e10ed03b183b765bf96c35c	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	THIRD_PARTY_NOTICES.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	233226c24c30288e7098ffd8e300531ccc974bb04c7e73a798b8a5d682d916f6	current implementation/input	Existing canonical sanitized/updated counterpart	THIRD_PARTY_NOTICES.md	SUPERSEDED_WITH_EVIDENCE	Canonical source-bound authored/hash representation supersedes older raw source text/profile metadata; exact frozen v0.9 and v0.9a builds verify the adopted product, without importing the old corpus.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	TRANSLATION_COMPLETION_REPORT.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	f16237d74c3e6f3632b921e2cfcfc16d2ef1bc833caf4e9f912f4b7a3a133176	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	verify_narikiri2_roms.py	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	93f4977f77a6b49a63d79fc3623c9060f4eb8af43d759b46fc58a7b04b8bc58b	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	WORKLOG.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	d957f7ad59cb3c65646d0d78be0071f2197f1a1f8bd3ea3d3cd83392b59d8d7c	historical decisions/status	NO: historical/private data not selected for publication	MIGRATION.md; RELEASE_POLICY.md; docs/migration/FOLLOW_UP.md	SUPERSEDED_WITH_EVIDENCE	v0.9 historical status is superseded by v0.9a, not deleted. Adopted save/font/FFR/rights/version policies remain in active docs; pending hardware/full-play work is carried forward.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	테일즈 오브 더 월드 나리키리 던전 2_[AN9J][J].gba	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	a92c0f6dbb5c013b47b7178e23d81663e3952a10df7b1f68967ebf7bb3b98eb7	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR-01.sgm	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	58b8bb11e21fb1a40c500ec957bcaab38f5ea3cd970bd2de46645ab727363966	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR.gba	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	f94cb5a128c8a98e6e18e6a0598ebf9b266f54da0750367af8defac3eb2df7d4	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	테일즈 오브 더 월드 나리키리 던전 2_[AN9J][K]_FFR.sav	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	91abdb55aac1aaea117b3bfa91c811efca60540f159ee45c05ef4573bf90f46f	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_engine_cpu_tests.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	fdab42d5a862d946661cc3df077b29ca29eecfdae2c891ffa52bfc94f6e45dbf	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_engine_cpu_tests_revision03.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	3d8c8669bdaccdcd307ec18be3f9527662550f5032082697675ab1b9cdc242f6	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_engine_cpu_tests_revision04.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	cfba5ad6c3639e932b9296ba5e7508e023dcd1ae70c1c28f6abdd6aa0fce918a	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_engine_cpu_tests_revision04b.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	65ec942a12aa9fa511ae628f258cb33c5a542b5c70216dcac3f3662d16dc42d8	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_engine_cpu_tests_revision04c.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	ab627e80a68ab05033919a5ef95225600d836098f5fe7bf44425474ca43cb2fe	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_full_regression.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	a77905186d0043d3618c1ea47521058f3fcae3c67257b70520c27e253da12393	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/banked_full_regression_revision05.txt	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	caef88f72e707b0322f23c6d0135676188a7ae38edf696927ec4d971018eaa31	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/baseline_manifest.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	29094a9123ec61df687de3664cf48537474b99836ee756aaa29947e581e6fff4	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/battle_label_asset_search.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	48b1c8bcc22a35b8107d05dc6cd1a6a3b0883495bfc1dec6135a8d0d4d1a2b7a	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/battle_pause_asset_search.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	ac5591474022225ab86ac0a8dd46af63ba10532644a0a54b938b452276b12111	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/binary_diff_report.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	ed6d80ad6495df2571b22efb0f132c920396fda170236748fb75e4e7c261b44f	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/candidate_a_g3diag.csv	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	7b1de43076c9b4623241ed7f895ed5811287d307e9ecabdaf3e94f8dba53ebd3	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_capacity_summary.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	7dcd10b725243d10367773da5b577432eabde6066a23f69f79b65bcd38524aa6	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_code_usage.csv	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	651abb089454d3bf83fe9acf5c3030de5ed262bcde5ccf8f8ede91f47dc1d8ae	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_resume_findings.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	dfa5d6e57352d6e66217a5432e6a110a2d7f61f7683d430f134d5986606788a1	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_target_catalog_summary.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	56c1f359e82dafa3e09c923aeb4968714e31b8daaf6bad567b1caf20fb4fe0f9	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_transcription_summary.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	b7f322f32a04eb9cbf158b225fafbea320b91a320e98afd37cbf4b8af8f15e99	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_translation_autodraft_summary.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	57a34f0061603df1cc83286e58fca10bc80fa318020265a73877a9f5bbe44565	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_unicode_corpus.csv	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	64eede3594f0fe2278184acf9a139ed1961f45d81cae321b723129c4450322b9	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/compact_unicode_corpus_summary.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	e072b565078f69ee1fddbc3bea3191ca09ef28a19ab49d5c93a5f0a1461166e2	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/complete_build_manifest.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	fa1207182ca1661f3851a2ddcc4ce5e96a3d2ea305e0a0d4bb42c637fa71183c	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/complete_build_preflight.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	29b2dbef5019c26434f5e9ef76c36daba7f6553dd924453e4e96976e6f78e3bb	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/complete_development_manifest.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	e077abbf8d1b41d96f2e28359b659c061562fb9eb05806c7aec16b053bcf1dff	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/complete_item_audit.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	b15b356225484af4d2b951757d208eabcbfc28238bacd737f70314aed1766dbc	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/complete_item_inventory.csv	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	97abbbc66058486946108c7f14c1d3a40e240f194b0361bfe7286560a491c8b6	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	analysis/complete_scope_summary.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	185e5e9210abbb2f7da90c11e6014b15056f93ab0c9fd92579d1576219770242	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
