display_id	rom_job_id	japanese_compact	reference_name	decision_note
117	JOB_157	%hカイトウ%h	괴도	
118	JOB_158	%hカイトウ%h	괴도	
119	JOB_159	アサシン	어새신	
120	JOB_160	アサシン	어새신	
121	JOB_161	トレジャーハンター	트레저 헌터	
122	JOB_162	トレジャーハンター	트레저 헌터	
123	JOB_043	%hショウニン%h	상인	
124	JOB_044	%hショウニン%h	상인	
125	JOB_045	ギャンブラー	갬블러	
126	JOB_046	%hオドリコ%h	무용수	
127	JOB_163	ファイヤーダンサー	파이어 댄서	
128	JOB_164	%hタビゲイニン%h	여행예능인	
129	JOB_165	%hミズゲイニン%h	물예능인	
130	JOB_166	タップダンサー	탭 댄서	
131	JOB_167	%hミコ%h	무녀	
132	JOB_168	アイドル	아이돌	
133	JOB_169	シャドウダンサー	섀도우 댄서	
134	JOB_170	%hマイヒメ%h	무희	
135	JOB_047	ワンダーシェフ	원더셰프	
136	JOB_048	ワンダーシェフ	원더셰프	표의 135 남/여를 원본의 두 레코드로 보존; 136 번호 생략 보완
137	JOB_191	%hアジムシャ%h	맛무사	
138	JOB_192	%hアジムシャ%h	맛무사	
139	JOB_049	%hアソビニン%h	놀이꾼	
140	JOB_050	%hアソビニン%h	놀이꾼	
141	JOB_051	ドクター	닥터	
142	JOB_052	ナース	너스	
143	JOB_053	%hオンガクカ%h	음악가	
144	JOB_054	%hオンガクカ%h	음악가	
145	JOB_055	%hガクシャ%h	학자	
146	JOB_056	%hガクシャ%h	학자	
147	JOB_171	%hカザンガクシャ%h	화산학자	
148	JOB_172	%hカザンガクシャ%h	화산학자	
149	JOB_173	%hキショウガクシャ%h	기상학자	
150	JOB_174	%hキショウガクシャ%h	기상학자	
151	JOB_175	%hカイヨウガクシャ%h	해양학자	
152	JOB_176	%hカイヨウガクシャ%h	해양학자	
153	JOB_177	%hチシツガクシャ%h	지질학자	
154	JOB_178	%hチシツガクシャ%h	지질학자	
155	JOB_179	%hハツメイカ%h	발명가	
156	JOB_180	%hハツメイカ%h	발명가	
157	JOB_181	%hシンガクシャ%h	신학자	
158	JOB_182	%hシンガクシャ%h	신학자	
159	JOB_183	%hテンモンガクシャ%h	천문학자	
160	JOB_184	%hテンモンガクシャ%h	천문학자	
161	JOB_185	%hブツリガクシャ%h	물리학자	
162	JOB_186	%hブツリガクシャ%h	물리학자	
163	JOB_057	%hネコニン%h	고양이인	
164	JOB_058	%hネコニン%h	고양이인	
165	JOB_059	%hテジナシ%h	마술사	
166	JOB_187	トリックスター	트릭스타	
167	JOB_188	イリュージョニスト	일류져니스트	
168	JOB_189	%hキジュツシ%h	기술사	
169	JOB_190	ジャグラー	저글러	
170	JOB_060	モデル	모델	
171	JOB_001	クレス	크레스	
172	JOB_002	チェスター	체스터	
173	JOB_003	ミント	민트	
174	JOB_004	クラース	클라스	
175	JOB_005	アーチェ	아체	
176	JOB_006	%hスズ%h	스즈	
177	JOB_007	スタン	스탄	
178	JOB_008	ルーティ	루티	
179	JOB_009	リオン	리온	
180	JOB_010	フィリア	필리아	
181	JOB_011	ウッドロウ	우드로우	
182	JOB_012	チェルシー	첼시	
183	JOB_013	マリー	마리	
184	JOB_014	コングマン	콩맨	
185	JOB_015	ジョニー	죠니	
186	JOB_016	リッド	리드	
187	JOB_017	ファラ	파라	
188	JOB_018	キール	킬	
189	JOB_019	メルディ	메르디	
190	JOB_020	フォッグ	포그	
191	JOB_021	チャット	채트	
192	JOB_022	レイス	레이스	
193	JOB_027	アミィ	아미	
194	JOB_026	ミラルド	미랄드	
195	JOB_024	リリス	리리스	
196	JOB_028	ディムロス	딤로스	
197	JOB_023	ダオス	다오스	
198	JOB_025	セルシウス	셀시우스	등장인물 제목 셀시우스 채택; 코스튬 표 세르시우스와 충돌
199	JOB_061	ワルキューレ	왈큐레	
200	JOB_062	ドリラー	드릴러	
